Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
;капроновая лента;капроновая лента;organza ribbon;ta?ma nylonowa;капрон лента;Kapronband;ruban nylon;cinta de capr?n;nastro di nylon;капронавая стужка;капронова стрічка;;капрон тасма;kapron lenta;
;капроновые ленты;капроновые ленты;organza ribbons;ta?my nylonowa;капрон ленталар;Kapronb?nder;rubans nylon;cintas de capr?n;nastri di nylon;капронавыя стужкі;капронові стрічки;;капрон тасмалар;kapron lentalar;
;косая бейка;косая бейка;bias binding;lam?wka;?исы? к?мкерме;;ruban en biais;bies atravesado;sbieco;касая бейка;коса бейка;;Кыйгач тасма;qiyshiq beyka;
см.Примечание;кружевная тесьма;кружевная тесьма;lace ribbon;koronkowa ta?ma ozdobna;шілтерлі таспа;spitze Borte;galon en dentelle;trencilla de encaje;fettuccia in pizzo;карункавая тасьма;тасьма декоративна мереживна;;кружева тилке;dantelli tesma;
см.Примечание;;;lace trimming;;;;;;;;;;;;
см.Примечание;;;guipure lace trim;;;;;;;;;;;;
;металлизированная лента;металлизированная лента;metallic ribbon;metalizowana ta?ma ozdobna;металдандырыл?ан лента;metallisiertes Band;ruban m?tallis? d?coratif;cinta decorativa metalizada;nastro decorativo metallizzato;стужка металізаваная;стрічка декоративна металізована;;металлдаштырылган тасма;metalllashtirilgan lenta;
см.Примечание;металлизированная тесьма;металлизированная тесьма;metallic braid;ta?ma ozdobna metalizowana;металдандырыл?ан таспа;metallisierte Borte;galon m?tallis?;trencilla metalizada;fettuccia metalizzata;металізаваная тасьма;металізована тасьма;;металлдаштырылган тилке;metalllashtirilgan tesma;
;окантовочная лента;окантовочная лента;edging ribbon;wst??ka do oblamowania;жиек лента;Kantenband;ruban de bordure;cinta para ribetear;nastro inquadratura;акантовачная стужка;окантовувальна стрічка;;жээк тасма;chekka lenta;
;шелковая лента Gamma;шелковая лента Gamma;Gamma silk ribbon;ta?ma jedwabna Gamma;жібек лента Gamma;Seidenband;ruban de soie;cinta de seda;nastro di seta;шаўковая стужка Gamma;шовкова стрічка Gamma;;жибек тасма Gamma;Gamma shoyi lenta;
;шелковые ленты Gamma;шелковые ленты Gamma;Gamma silk ribbons;ta?my jedwabne Gamma;жібек ленталар Gamma;Seidenb?nder;rubans de soie;cintas de seda;nastri di seta;шаўковыя стужкі Gamma;шовкові стрічки Gamma;;жибек тасмалар Gamma;Gamma shoyi lentalar;
;шелковые ленты Gamma на держателе;шелковые ленты Gamma на держателе;Gamma silk ribbons on a loaded organiser;;?ста?ышта?ы жібек ленталар Gamma;;;;;шаўковыя стужкі Gamma на трымальніку;;;кармагычтагы жибек тасмалар Gamma;ushlagichdagi shoyi lentalar Gamma;
;эластичная лента;эластичная лента;elastic;ta?ma elastyczna;серпімді лента;Gummiband;ruban ?lastique;cinta el?stica;nastro elastico;стужка эластычная;стрічка еластична ;;эластикалык тасма;elastik lenta;
;бечевка;бечевка;twine;sznurek szpagat;;Strippenband;cordon;bramante;spago;лінка;мотузка;;арканча;kanop;
;шнуры;шнуры;cords;sznurki;баулар;Schn?re;Cordons;Cordones ;Corde;;;;;;
;шнур;шнур;cord;sznurek;бау;Schnur;cordon;cord?n;cordone;шнур;шнур;;шнур;shnur;
;крученый шнур;крученый шнур;twisted cord;sznurek skr?cany;ширатыл?ан шнур;gedrehten Schnur;cordon torsad?;cord?n trenzado;corda ritorta;шнур віты;шнур витий;;чыйратылган шнур;o'ralgan shnur;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Нитки, пряжа;;;;;;;;;;;;;;;
PANNA, коврики;акриловые нити (нарезка);акриловые нити (нарезка);precut acrylic yarn;nitki akrylowe (kawa?ki);акрил жіптер (?иынды);Acrylgarn (geschnitten);fils acriliques (d?coupage);hilos acr?licos (cortados);fili acrilici (tagliati);акрылавыя ніткі (нарэзка);акрилові нитки;;акрил жиптер (кесик);akril iplar (kesma);
;нитки капрон;нитки капрон;organza threads;;капрон жіптер;Kaprongarn;fils nylon;;;ніткі капрон;;;капрон жиптер;kapron iplar;
;пряжа (акрил);пряжа (акрил);yarn (acrylic);prz?dza (akryl);иірімжіп (акрил);Garn (Akryl);fil? (acryl);hilado (acrilamida);filato (acrilico);прадзіва (акрыл);пряжа (акрил);;жип (акрил);ip (akril);
;пряжа (шерсть, акрил);пряжа (шерсть, акрил);yarn (wool, acrylic);prz?dza (we?na, akryl);иірімжіп (ж?н, акрил);Garn (Wolle, Akryl);fil? (laine, acryl);hilado (lana, acrilamida);filato (lana, acrilico);прадзіва (воўна, акрыл);пряжа (шерсть, акрил);;жип (ж?н, акрил);ip (jun, akril);
;пряжа (полиэстер);пряжа (полиэстер);yarn (polyester);prz?dza (poliester);иірімжіп (полиэстер);;fil? (polyester);;;прадзіва (поліэстэр);;;жип (полиэстер);ip (polyester);
;пряжа (хлопок);пряжа (хлопок);cotton yarn;;иірімжіп (ма?та);;fil? (coton);;;прадзіва (бавоўна);;;жип (пахта);ip (paxta);
;пряжа Gamma (хлопок);пряжа «Ирис» (хлопок);cotton yarn;prz?dza Iris (bawe?na);иірімжіп «Ирис» (ма?та);Garn Gamma (Baumwolle);fil? Gamma (coton);hilado Gamma (algod?n);filato Gamma (cotone);прадзіва (бавоўна);пряжа «Iris»;;жип (пахта);ip (paxta);
;пряжа 75% акрил, 25% шерсть;пряжа 75% акрил, 25% шерсть;yarn (75% acrylic, 25% wool);prz?dza 75% akryl,  25% we?na;иірімжіп 75% акрил, 25% ж?н;Garn 75% Akryl, 25% Wolle;fil? 75% acryl, 25% laine;hilado 75% acrilamida, 25% lana;filato 75% acrilico, 25% lana;прадзіва 75% акрыл, 25% воўна;пряжа 75% акрил, 25% шерсть;;жип 75% акрил, 25% ж?н;ip 75% akril, 25% jun;
;пушистая пряжа (полиэстер);пушистая пряжа (полиэстер);fluffy yarn (polyester);;?лпілдек иірімжіп (полиэстер);;fil moelleux (polyester);;;;;;?лп?лд?к жип (полиэстер);yumshoq ip (polyester);
;велюровая пряжа (полиэстер);велюровая пряжа (полиэстер);velour yarn (polyester);;велюр иірімжіп (полиэстер);;fils de velours (polyester);;;пража велюравая (поліэстэр);;;велюр жип (полиэстер);velor ip (polyester);
;пряжа «травка» (полиэстер);пряжа «травка» (полиэстер);yarn “grass” (polyester);;иірімжіп «ш?п» (полиэстер);;fil? « herbe » (polyester);;;прадзіва «траўка» (поліэстэр);;;жип «ч?п» (полиэстер);ip «maysa» (polyester);
Woolla, гобелены;армированная нить;армированная нить;warp thread;nitka wzmocniona;?зектелген жіп;Armierfaden;fil arm? ;hilado reforzado;filo armato;армаваная нітка;армована нитка;;к?чт?нд?р?лг?н жип;pishiq ip;
Убрать название ТМ с 85 заказа;швейные нитки Gamma;швейные нитки;sewing thread;nici do szycia;тігін жіптер;N?hgarn;fil ? coudre;hilos de coser;fili cucirini;швейныя ніткі;нитки швейні;;тиг??ч? жиптер;tikuv iplar;
;;;sewing threads;;;;fils ? coudre;;;;;;;;
;металлизированные нитки мулине Gamma;металлизированные нитки мулине Gamma;Gamma metallic threads;metalizowane nici mulinowe Gamma;металдандырыл?ан жіптер мулине Gamma;metallisiertes Moulinegarn Gamma;fil m?tallis?s moulin?;hilos moulin? metalizado;fili moulin? metallizzati;металізаваныя ніткі мулінэ Gamma;металізованіе нитки муліне Gamma;;металлдаштырылган жиптер мулине Gamma;metalllashtirilgan iplar muline Gamma;
;металлизированные нитки мулине Gamma на держателе;металлизированные нитки мулине Gamma на держателе;Gamma metallic threads on a loaded organiser;metalizowane nici mulinowe Gamma na uchwycie;?ста?ышта?ы металдандырыл?ан жіптер мулине Gamma;metallisiertes Moulinegarn Gamma auf dem Halter;fil m?tallis?s moulin? sur un porteur;hilos moulin? metalizado en el soporte;fili moulin? metallizzati sul supporto;металізаваныя ніткі мулінэ Gamma на трымальніку;металізованіе нитки муліне на тримачі Gamma;;кармагычтагы металлдаштырылган жиптер мулине Gamma;ushlagichdagi metalllashtirilgan iplar muline Gamma;
;хлопчатобумажные и металлизированные нитки мулине Gamma на держателе;хлопчатобумажные и металлизированные нитки мулине Gamma на держателе;Gamma stranded cotton and metallic threads on a loaded organizer;bawe?niane i metalizowane nici mulinowe Gamma na uchwycie;?ста?ышта?ы ма?та-мата ж?не металдандырыл?ан жіптер мулине Gamma;baumwollen und metallisiertes Moulinegarn Gamma auf dem Halter;fils de coton et fils m?tallis?s moulin? Gamma sur un porteur;hilos moulin? Gamma de algod?n e metalizado Gamma en el soporte;fili moulin? di cotone e metallizzati Gamma sul supporto;баваўняныя і металізаваныя ніткі мулінэ Gamma на трымальніку;бабовняні i металізованіе нитки муліне на тримачі Gamma;;кармагычтагы пахта жана металлдаштырылган жиптер мулине  Gamma;ushlagichdagi paxta va metalllashtirilgan iplar muline Gamma;
